Image_Name,Image_Resolution,Count,Average_Circularity(ideal circle=0),Average area,Background intensity,Average background intensity ,Average_Viability (%)
image_205..jpg,1210x1290,13,0.445,1620.416,188.3564412,9.586755556,12.24414154
image_206..jpg,1210x1290,11,0.499,1514.219,149.5834367,31.60331883,6.494797997
image_207..jpg,1210x1290,42,0.467,1237.54,202.2017238,65.5885899,67.55221669
image_208..jpg,1210x1290,14,0.483,1036.535,192.3993469,11.02862453,15.53204398
image_209..jpg,1210x1290,11,0.526,1379.693,211.3846846,19.14253542,5.439660652
image_21..jpg,1210x1290,49,0.493,1152.017,193.9621022,76.95696704,74.90810994
image_210..jpg,1210x1290,43,0.537,935.305,160.6220645,69.06395672,67.88897177
image_211..jpg,1210x1290,12,0.607,744.764,192.3080363,2.893079838,0.637256532
image_212..jpg,1210x1290,29,0.494,876.288,209.2967666,36.64648972,35.04459008
image_213..jpg,1210x1290,13,0.465,1307.308,60.54995352,24.82363347,29.50657124
image_214..jpg,1210x1290,44,0.495,1123.873,180.9641015,64.82008594,66.44859027
image_215..jpg,1210x1290,11,0.476,850.3,147.5874068,0,0
image_216..jpg,1210x1290,46,0.506,1114.87,74.68499689,64.9743733,71.48491859
image_217..jpg,1210x1290,11,0.534,1335.39,63.19773654,6.699298555,2.875648794
image_218..jpg,1210x1290,45,0.555,1046.829,77.80650942,67.85113345,68.48438323
image_219..jpg,1210x1290,31,0.538,1018.065,139.958166,41.02845995,36.94957652
image_22..jpg,1210x1290,24,0.54,1330.981,64.12643655,59.77355825,49.88250703
image_220..jpg,1210x1290,24,0.478,1230.535,184.2852246,84.4206685,88.30019872
image_221..jpg,1210x1290,3,0.41,1964.74,182.4674551,100,100
image_222..jpg,1210x1290,15,0.521,966.649,212.2356554,10.0638039,12.82511838
image_223..jpg,1210x1290,5,0.544,985.702,171.7470288,22.27770889,5.132858216
image_224..jpg,1210x1290,5,0.482,2485.424,200.9896539,60,98.26663969
image_225..jpg,1210x1290,9,0.579,609.291,182.9515474,0,0
image_226..jpg,1210x1290,4,0.422,859.088,169.7327266,72.33971473,95.17352756
image_227..jpg,1210x1290,15,0.535,1469.801,205.9100487,23.34596593,15.43643651
image_228..jpg,1210x1290,3,0.34,5165.907,197.2477665,99.09885303,99.83057555
image_229..jpg,1210x1290,9,0.591,1116.533,152.5565228,0,0
image_23..jpg,1210x1290,3,0.457,793.814,164.5223199,52.44803708,76.50273823
image_230..jpg,1210x1290,13,0.558,673.713,200.4728054,72.07055453,75.57368404
image_231..jpg,1210x1290,0,-1,-1,199.5952998,-1,-1
image_232..jpg,1210x1290,0,-1,-1,197.257423,-1,-1
image_233..jpg,1210x1290,1,0.35,68.484,163.6167248,0,0
image_234..jpg,1210x1290,18,0.518,1433.436,162.7787955,39.45027465,54.50977131
image_235..jpg,1210x1290,6,0.488,1388.043,197.3865018,85.4527795,94.50475782
image_236..jpg,1210x1290,1,0.77,468.927,200.1544747,43.00377243,43.00377243
image_237..jpg,1210x1290,10,0.551,1742.954,159.2879099,82.82790882,89.77294403
image_238..jpg,1210x1290,13,0.572,1149.254,196.7772403,33.75549207,42.88334081
image_239..jpg,1210x1290,2,0.4,2082.516,194.9527094,100,100
image_24..jpg,1210x1290,51,0.44,277.48,194.3020965,93.7304308,94.8849504
image_25..jpg,1210x1290,27,0.545,835.678,158.970905,88.77346788,98.51954362
image_26..jpg,1210x1290,5,0.378,1130.553,161.1725625,97.17622976,99.59299763
